;a_EP;a_Err_EP;T_L_EP;T_L_Err_EP;T_M_EP;T_M_Err_EP;m_EP;m_Err_EP;a_PA;a_Err_PA;T_L_PA;T_L_Err_PA;T_M_PA;T_M_Err_PA;m_PA;m_Err_PA;a_Sur;a_Err_Sur;T_L_Sur;T_L_Err_Sur;T_M_Sur;T_M_Err_Sur;m_Sur;m_Err_Sur;ChiSquare
Iteration_206;0.000284601;;1.372220699;;29.55479288;;6;;0.000212401;;6;;30;;5;;3.10E-05;;-1.283238826;;28;;3.5;;358998.8626
Iteration_619;0.00030872;;0.980113629;;35;;4.360588022;;0.000130357;;2.708446991;;35;;3.740367778;;3.00E-05;;-0.916974325;;32;;1.500045986;;365045.4889
Iteration_539;0.000433466;;1.007819923;;27;;2.940512006;;9.31E-05;;3.811320512;;35;;2.103085905;;3.95E-05;;-1.335430198;;32;;1.500950359;;366736.8787
Iteration_485;0.000499987;;1.41214046;;33.25614672;;2.500020238;;2.32E-05;;3.673767787;;35;;3.190662908;;3.14E-05;;-0.799650895;;28;;3.5;;368658.4866
Iteration_728;0.000462392;;0.832849849;;27;;3.169968758;;7.95E-05;;2.68718816;;30;;4.639326813;;4.30E-05;;-1.032492175;;32;;3.5;;376041.7964
Iteration_693;0.000344354;;0.5;;27;;2.500270214;;0.000103377;;6;;30;;4.985923356;;3.37E-05;;-0.707133318;;28;;2.778234309;;378543.0877
Iteration_457;0.000336191;;0.870307799;;27;;2.501775517;;0.000125839;;5.540315502;;30;;3.172336616;;3.01E-05;;-1.136923176;;32;;1.980939558;;383131.0158
Iteration_44;0.000264997;;1.22663349;;27;;2.5;;0.000117805;;4.369107723;;35;;3.345399255;;3.21E-05;;-1.533652854;;28;;3.5;;387630.905
Iteration_581;0.000404883;;0.609196034;;29.29441848;;4.83208864;;6.56E-05;;4.567206476;;31.98255179;;2.744074824;;3.65E-05;;-1.735237485;;32;;3.5;;389926.2661
Iteration_469;0.00037061;;1.270907035;;31.21195141;;3.66040492;;7.13E-05;;5.618202144;;30;;3.711465332;;3.00E-05;;-1.079556053;;32;;3.5;;390988.1486
Iteration_517;0.000333223;;0.947568716;;27;;3.507834729;;0.000131794;;6;;30.85608446;;4.720107337;;3.00E-05;;-1.247377344;;28;;3.402292908;;396548.8696
Iteration_386;0.000358963;;0.608208651;;27;;4.470373541;;0.000122568;;4.660456802;;30;;5;;3.03E-05;;-0.780428246;;28;;3.5;;397119.8229
Iteration_550;0.000216813;;1.366821265;;29.43579714;;2.536790582;;0.000148659;;5.109307897;;30;;5;;3.00E-05;;-0.5;;28;;3.5;;400684.4892
Iteration_5;0.000357921;;0.953014467;;27;;3.529737307;;8.89E-05;;2.694594997;;35;;4.120135358;;3.00E-05;;-0.536914405;;32;;3.470213135;;403964.6866
Iteration_117;0.000377769;;1.086209551;;35;;4.684568356;;6.24E-05;;4.038218353;;33.96939211;;5;;3.00E-05;;-0.861274143;;28;;3.156579098;;406585.7465
Iteration_705;0.000408648;;0.990541463;;27;;4.94871028;;0.000113226;;4.753415016;;34.00769384;;5;;3.89E-05;;-1.075552154;;28.88039259;;3.5;;410197.4062
Iteration_194;0.000271461;;0.609764195;;27;;2.507948415;;0.000165377;;6;;35;;5;;3.02E-05;;-1.434246459;;32;;3.370647336;;415729.7053
Iteration_740;0.000499622;;1.002295665;;29.03311907;;2.500002916;;4.83E-05;;4.883405635;;35;;4.390775648;;3.66E-05;;-1.644872123;;32;;2.882725334;;417442.7365
Iteration_237;0.000343248;;0.960033787;;27.98574341;;3.12417718;;7.29E-05;;6;;30;;2.516154192;;3.21E-05;;-1.341827089;;28;;3.5;;430975.9411
Iteration_152;0.000244159;;1.531745517;;35;;3.705982732;;0.000129749;;6;;35;;5;;3.02E-05;;-1.170563229;;28;;2.568552263;;433845.2325
Iteration_111;0.000304015;;1.27845713;;27;;2.500335451;;9.45E-05;;1.58189857;;35;;5;;3.00E-05;;-1.09765858;;28;;3.5;;434878.2537
